DATA DE REGISTRO,NORMA,LINK,ORIGEM,SITUAÇÃO,RESUMO,TEMA,ESTADO DE CUMPRIMENTO,ÁREA RESPONSÁVEL,CUMPRDEC CNJ/OFÍCIO CSJT,PROAD,PLANO DE AÇÃO PARA ADOÇÃO,LINK PARA PLANILHA,TOTAL ITENS SIM,TOTAL ITENS NÃO,OBSERVAÇÕES,LINK PARA FORMULÁRIO,PRIORIDADE DE FORMULÁRIO,IAD,NORMA - ORIGEM
28/02/2013,Resolução nº 121/2013,https://juslaboris.tst.jus.br/bitstream/handle/20.500.12178/29136/2013_res0121_csjt.pdf?sequence=1&isAllowed=y,CSJT,Revogada,"Altera a redação dos incisos III e IV do art. 1º e revoga o inciso V do art. 1º e o § 2º do art. 4º do Ato n. 48/CSJT.GP.SE, de 22 de abril de 2010, referendado pela Resolução n. 61/CSJT, de 30 de abril de 2010, que estabelece critérios para o reconhecimento administrativo, apuração de valores e pagamento de dívidas de exercícios anteriores – passivos – a magistrados e servidores da Justiça do Trabalho.",Gestão e Organização Judiciária,Não se aplica,Não se aplica,,,,,,,,,Não se aplica,,Resolução nº 121/2013 - CSJT
28/02/2013,Resolução nº 124/2013,https://juslaboris.tst.jus.br/handle/20.500.12178/29159,CSJT,Alterada,Regulamenta a concessão de diárias e a aquisição de passagens aéreas no âmbito da Justiça do Trabalho de primeiro e segundo graus.,Gestão de Pessoas,Em análise,Secretaria de Gestão de Pessoas,,,,https://docs.google.com/spreadsheets/d/1C601w1XEx0mXG2u6JJKzAzYhj6x6kUwBUWNZd7FY4_o/edit?resourcekey=&gid=930449582#gid=930449582,,,,https://docs.google.com/forms/d/1NYvNxQHn7uFSdDEo6cy-wLxVwPUnjWH0AAf6rchaHiI/edit,Sim,,Resolução nº 124/2013 - CSJT
01/03/2013,Resolução nº 171/2013,https://atos.cnj.jus.br/files/resolucao_171_01032013_05032013174707.pdf,CNJ,Revogada,"Dispõe sobre as normas técnicas de auditoria, inspeção administrativa e fiscalização nas unidades jurisdicionais vinculadas ao Conselho Nacional de Justiça (Processo CNJ nº 349.544).",Normas de Auditoria,Não se aplica,Não se aplica,-,-,Não se aplica,,,,,,Não se aplica,,Resolução nº 171/2013 - CNJ
08/03/2013,Resolução nº 172/2013,https://atos.cnj.jus.br/files/resolucao_172_08032013_11032013133451.pdf,CNJ,Revogada,"Altera a redação da Resolução nº 44, de 20 de novembro de 2007, que dispõe sobre a criação do Cadastro Nacional de Condenados por ato de Improbidade Administrativa no âmbito do Poder Judiciário Nacional.",Transparência,Não se aplica,Não se aplica,-,-,Não se aplica,,,,,,Não se aplica,,Resolução nº 172/2013 - CNJ
08/04/2013,Resolução nº 173/2013,https://atos.cnj.jus.br/files/resolucao_173_08042013_10042013182348.pdf,CNJ,Meramente alteradora,"Altera a redação da Resolução nº 156, de 8 de agosto de 2012, que proíbe a designação para função de confiança ou a nomeação para cargo em comissão de pessoa que tenha praticado os atos que especifica, tipificados como causa de inelegibilidade prevista na legislação eleitoral, e dá outras providências.",Nepotismo/Cargos e Funções,Não se aplica,Não se aplica,0005087-44.2012.2.00.0000,-,,,,,,,Não se aplica,,Resolução nº 173/2013 - CNJ
12/04/2013,Resolução nº 174/2013,https://atos.cnj.jus.br/files/resolucao_174_12042013_19042013160459.pdf,CNJ,Vigente,Dispõe sobre a atividade de juiz leigo no Sistema dos Juizados Especiais dos Estados e do Distrito Federal.,Gestão de Pessoas,Não se aplica,Não se aplica,_,_,Não se aplica,,,,,,Não se aplica,,Resolução nº 174/2013 - CNJ
26/04/2013,Resolução nº 127/2013,https://juslaboris.tst.jus.br/handle/20.500.12178/30356,CSJT,Vigente,"Regulamenta a jornada de trabalho dos servidores integrantes da carreira de Analista Judiciário, Especialidade Medicina, no âmbito da Justiça do Trabalho de primeiro e segundo graus.",Gestão de Pessoas,Em análise,Secretaria de Gestão de Pessoas,,,,https://docs.google.com/spreadsheets/d/1brYf2wqzTwO4-HLI9MT_hbn70ticchFi0YZpApo7KnY/edit?resourcekey=&gid=1105740721#gid=1105740721,,,,https://docs.google.com/forms/d/1KaZFn9xuJ8fWuPMch3cZf6PUXykjcWROgNKiARXEX24/edit,Sim,,Resolução nº 127/2013 - CSJT
02/05/2013,Resolução nº 125/2013,https://juslaboris.tst.jus.br/bitstream/handle/20.500.12178/29984/2013_res0125_csjt.pdf?sequence=1&isAllowed=y,CSJT,Meramente alteradora,"Altera a Resolução n. 86/CSJT, de 25 de novembro de 2011, que dispõe sobre os procedimentos administrativos a serem adotados em caso de paralisação do serviço por motivo de greve no âmbito do Conselho Superior e da Justiça do Trabalho de primeiro e segundo graus.",Gestão de Pessoas,Não se aplica,Não se aplica,,,,,,,,,Não se aplica,,Resolução nº 125/2013 - CSJT
02/05/2013,Resolução nº 126/2013,https://juslaboris.tst.jus.br/bitstream/handle/20.500.12178/30001/2013_res0126_csjt.pdf?sequence=1&isAllowed=y,CSJT,Revogada,"Regulamenta, no âmbito da Justiça do Trabalho de 1º e 2º Graus, a regra prevista no art. 18, § 3º da Lei n. 11416, de 15 de dezembro de 2006, que trata da percepção, por servidores e empregados públicos cedidos aos Tribunais Regionais do Trabalho, da remuneração do cargo efetivo ou emprego permanente incluída do valor da função comissionada constante do anexo VIII da referida Lei.",Gestão de Pessoas,Não se aplica,Não se aplica,,,,,,,,,Não se aplica,,Resolução nº 126/2013 - CSJT
14/05/2013,Resolução nº 175/2013,https://atos.cnj.jus.br/files/resolucao_175_14052013_16052013105518.pdf,CNJ,Vigente,"Dispõe sobre a habilitação, celebração de casamento civil, ou de conversão de união estável em casamento, entre pessoas de mesmo sexo.",Cartórios,Não se aplica,Não se aplica,-,-,Não se aplica,,,,,,Não se aplica,,Resolução nº 175/2013 - CNJ
10/06/2013,Resolução nº 176/2013,https://atos.cnj.jus.br/files/resolucao_comp_176_10062013_21032019172700.pdf,CNJ,Revogada,Institui o Sistema Nacional de Segurança do Poder Judiciário e dá outras providências.,Segurança do Judiciário,Não se aplica,Não se aplica,-,-,Não se aplica,,,,,,Não se aplica,,Resolução nº 176/2013 - CNJ
06/08/2013,Resolução nº 177/2013,https://atos.cnj.jus.br/files/resolucao_177_06082013_07082013144849.pdf,CNJ,Vigente,Altera o percentual destacado como limite para as despesas com pessoal e encargos sociais do Conselho Nacional de Justiça.,Funcionamento do CNJ/CSJT,Não se aplica,Não se aplica,-,-,Não se aplica,,,,,,Não se aplica,,Resolução nº 177/2013 - CNJ
08/08/2013,Resolução nº 178/2013,https://atos.cnj.jus.br/files/resolucao_178_08082013_09082013141334.pdf,CNJ,Vigente,"Revoga a Resolução nº 126, de 22 de fevereiro de 2011.",Gestão de Pessoas,Não se aplica,Não se aplica,_,-,Não se aplica,,,,,,Não se aplica,,Resolução nº 178/2013 - CNJ
30/08/2013,Resolução nº 128/2013,https://juslaboris.tst.jus.br/bitstream/handle/20.500.12178/32939/2013_res0128_csjt_rep02.pdf?sequence=5&isAllowed=y,CSJT,Meramente alteradora,"Altera a Resolução n. 94, de 23 de março de 2012, que institui o Sistema Processo Judicial Eletrônico da Justiça do Trabalho (PJe- JT) como sistema de processamento de informações e prática de atos processuais e estabelece os parâmetros para sua implementação e funcionamento.",Gestão da Informação e de Demandas Judiciais,Não se aplica,Não se aplica,,,,,,,,,Não se aplica,,Resolução nº 128/2013 - CSJT
30/08/2013,Resolução nº 129/2013,https://juslaboris.tst.jus.br/bitstream/handle/20.500.12178/33039/2013_res0129_csjt.pdf?sequence=1&isAllowed=y,CSJT,Vigente,"Regulamenta o dispositivo constante do art. 3º da Lei n. 12774, de 28 de dezembro de 2012, que dispõe sobre as Carreiras dos Servidores do Poder Judiciário da União.",Gestão de Pessoas,Em análise,Secretaria de Gestão de Pessoas,,,,https://docs.google.com/spreadsheets/d/1Gn8Itca5dZQpZdpT9Hpboyz55MUwe2Z4os_ephybXAs/edit?resourcekey=&gid=788906088#gid=788906088,,,,https://docs.google.com/forms/d/1yTeCcGLn6LywK8oMweSXbKqCtrwUW429hc_CxftCY4s/edit,Sim,,Resolução nº 129/2013 - CSJT
30/08/2013,Resolução nº 130/2013,https://juslaboris.tst.jus.br/bitstream/handle/20.500.12178/33879/2013_res0130_csjt.pdf?sequence=1&isAllowed=y,CSJT,Meramente alteradora,"Altera a Resolução n. 70/CSJT, de 24 de setembro de 2010, que dispõe, no âmbito da Justiça do Trabalho de primeiro e segundo graus, sobre: I - O processo de planejamento, execução e monitoramento de obras; II – Parâmetros e orientações para contratação de obras; III – Referenciais de áreas e diretrizes para elaboração de projetos.",Gestão Administrativa,Não se aplica,Não se aplica,,,,,,,,,Não se aplica,,Resolução nº 130/2013 - CSJT
03/10/2013,Resolução nº 179/2013,https://atos.cnj.jus.br/files/resolucao_179_03102013_04102013162756.pdf,CNJ,Meramente alteradora,"Altera a redação do art. 12 da Resolução nº 35, de 24 de abril de 2007, que disciplina a aplicação da Lei nº 11.441/2007 pelos serviços notariais e de registro.",Cartórios,Não se aplica,Não se aplica,0200922-43.2007.2.00.0000 ,-,Não se aplica,,,,,,Não se aplica,,Resolução nº 179/2013 - CNJ
03/10/2013,Resolução nº 180/2013,https://atos.cnj.jus.br/files/resolucao_180_03102013_04102013163657.pdf,CNJ,Vigente,"Acrescenta informações ao processo de execução penal e à guia de recolhimento quando houver, por força de detração deferida pelo juiz do processo de conhecimento, possibilidade de fixação de regime prisional mais benéfico ao condenado por sentença penal, nos termos da Lei n.12.736, de 3 de dezembro de 2012.",Execução Penal e Sistema Carcerário,Não se aplica,Não se aplica,-,-,Não se aplica,,,,,,Não se aplica,,Resolução nº 180/2013 - CNJ
17/10/2013,Resolução nº 181/2013,https://atos.cnj.jus.br/files/resolucao_comp_181_17102013_15042019165045.pdf,CNJ,Meramente alteradora,"Altera a redação do § 1º do art. 2º da Resolução nº 7, de 18 de outubro de 2005.",Nepotismo/Cargos e Funções,Não se aplica,Não se aplica,0200882-61.2007.2.00.0000,,,,,,,,Não se aplica,,Resolução nº 181/2013 - CNJ
