NORMA,ORIGEM,LINK PARA PLANILHA,ÁREA RESPONSÁVEL,NORMA - ORIGEM
Resolução nº 231/2019,CSJT,https://docs.google.com/spreadsheets/d/1J8RBuX-WH3X5nWgmOezI20pUtSEMoxeKPnfUDNkz_2M/edit?resourcekey=&gid=1375495711#gid=1375495711,Secretaria Geral da Presidência,Resolução nº 231/2019 - CSJT
Resolução nº 235/2019,CSJT,https://docs.google.com/spreadsheets/d/1W_6H74ne6q14Os2qaZuRHScgokdtGWIWCk1IOhsGZGY/edit?resourcekey=&gid=1727720240#gid=1727720240,Secretaria Geral da Presidência,Resolução nº 235/2019 - CSJT
Resolução nº 244/2019,CSJT,https://docs.google.com/spreadsheets/d/1xahiLlZYmAWyKydhF2MSFDdrs5VxmhBW6vHFjExlSGo/edit?resourcekey=&gid=52944915#gid=52944915,Secretaria de Gestão de Pessoas,Resolução nº 244/2019 - CSJT
Resolução nº 293/2019,CNJ,https://docs.google.com/spreadsheets/d/1sZgBKRseqvMAYHaFCiX1QZKlMcZhkgWwuzdDFhkMqhQ/edit?resourcekey=&gid=1399465474#gid=1399465474,Secretaria de Gestão de Pessoas,Resolução nº 293/2019 - CNJ
Resolução nº 248/2019,CSJT,https://docs.google.com/spreadsheets/d/1iIU6ENJAnb2wh8rdFceEP_KiW6vpx5tFZrspFan2mkc/edit?resourcekey=&gid=1176523773#gid=1176523773,Secretaria Geral da Presidência,Resolução nº 248/2019 - CSJT
Resolução nº 253/2019,CSJT,https://docs.google.com/spreadsheets/d/11slrHiLavtcdIeF5jjKbs_DrKJ-wNjoR7bksOOuJtvw/edit?resourcekey=&gid=1794184521#gid=1794184521,Secretaria de Gestão de Pessoas,Resolução nº 253/2019 - CSJT
Resolução nº 303/2019,CNJ,https://docs.google.com/spreadsheets/d/1m4AuQRySenKO1KhXVatu78wgc6FYQleTgN18hfXxNqc/edit?resourcekey=&gid=452948912#gid=452948912,Secretaria Geral da Presidência,Resolução nº 303/2019 - CNJ
Resolução nº 218/2018,CSJT,https://docs.google.com/spreadsheets/d/1pXNifFhdLwUmM1JHVxq9__vktLIxvzNPhaiyfFBpJLw/edit?resourcekey=&gid=1590349693#gid=1590349693,Secretaria Geral da Presidência,Resolução nº 218/2018 - CSJT
Resolução nº 222/2018,CSJT,https://docs.google.com/spreadsheets/d/1_8qweWo3Pigch_cOnfQeriP7YExTQWGtzpT0JUOUyx4/edit?resourcekey=&gid=1765432441#gid=1765432441,Secretaria de Gestão de Pessoas,Resolução nº 222/2018 - CSJT
Resolução nº 255/2018,CNJ,https://docs.google.com/spreadsheets/d/17BzR1JkdUXdiByuBt9-juXQgD_fvi0d_40OWClt8Kl8/edit?resourcekey=&gid=579085131#gid=579085131,Secretaria Geral da Presidência,Resolução nº 255/2018 - CNJ
Resolução nº 270/2018,CNJ,https://docs.google.com/spreadsheets/d/1PAtZUQv6X5ohaID2THUjgqpSY2RVyYejgikTbtYy8PA/edit?resourcekey=&gid=2008732528#gid=2008732528,Secretaria Geral da Presidência,Resolução nº 270/2018 - CNJ
Resolução nº 206/2017,CSJT,https://docs.google.com/spreadsheets/d/1rUx0oQIn9er1u4o49ILTCpr7C2pQtjR133-z1T_A4i4/edit?resourcekey=&gid=1803061477#gid=1803061477,Secretaria Geral da Presidência,Resolução nº 206/2017 - CSJT
Resolução nº 221/2016,CNJ,https://docs.google.com/spreadsheets/d/1q5ziihGT3TUqLet5F4v49ti0ZxtFVuUJO5JuZqw5c60/edit?resourcekey=&gid=1685846052#gid=1685846052,Secretaria de Governança e Gestão Estratégica,Resolução nº 221/2016 - CNJ
Resolução nº 233/2016,CNJ,https://docs.google.com/spreadsheets/d/1AGeiD6Y5N6brvAPdhYPL_AafB0-wc-RCiKBnng9Khgs/edit?resourcekey=&gid=1885054949#gid=1885054949,Secretaria Geral da Presidência,Resolução nº 233/2016 - CNJ
Resolução nº 200/2015,CNJ,https://docs.google.com/spreadsheets/d/1EBgMqMC4womBarAMJzepS-wNKp6OeP6CDGRPH09yq7Q/edit?resourcekey=&gid=407475238#gid=407475238,Secretaria Geral da Presidência,Resolução nº 200/2015 - CNJ
Resolução nº 203/2015,CNJ,https://docs.google.com/spreadsheets/d/104v0Kl0tRwKrOJyFifE6sVFgqBBgQJ2t8jw14txuwUI/edit?resourcekey=&gid=1501373205#gid=1501373205,Secretaria Geral da Presidência,Resolução nº 203/2015 - CNJ
Resolução nº 155/2015,CSJT,https://docs.google.com/spreadsheets/d/14kA6z-MMow0FAz9mE9nWKEv-LKPxf7p4x_at357DyD8/edit?resourcekey=&gid=1941111603#gid=1941111603,Secretaria Geral da Presidência,Resolução nº 155/2015 - CSJT
Resolução nº 209/2015,CNJ,https://docs.google.com/spreadsheets/d/1tMvFsyZ1fItx6dNteT18u7bN0eL_-RR36zE6ICjH7YU/edit?resourcekey=&gid=1342386300#gid=1342386300,Secretaria Geral da Presidência,Resolução nº 209/2015 - CNJ
Resolução nº 215/2015,CNJ,https://docs.google.com/spreadsheets/d/1eS5pF6zw-cLh-GAF9oLef56DuL46tGIPy1urrWmEoM0/edit?resourcekey=&gid=1016627323#gid=1016627323,Secretaria de Governança e Gestão Estratégica,Resolução nº 215/2015 - CNJ
Resolução nº 138/2014,CSJT,https://docs.google.com/spreadsheets/d/1Oay47F0ke0KhGgcqbDbDHXwVZNqX1ejfftfHdPE08zs/edit?resourcekey=&gid=1829418455#gid=1829418455,Secretaria Geral da Presidência,Resolução nº 138/2014 - CSJT
Resolução nº 139/2014,CSJT,https://docs.google.com/spreadsheets/d/1dxC0AUFFVWqQllP37RnHqLGZnj49kYc8bEVFxKE8EqU/edit?resourcekey=&gid=422215283#gid=422215283,Secretaria Geral da Presidência,Resolução nº 139/2014 - CSJT
Resolução nº 140/2014,CSJT,https://docs.google.com/spreadsheets/d/1N6ujz39WW6A2U4aifPGB5sVVsE7oAEK3Wn4L_QNmCnE/edit?resourcekey=&gid=1716606863#gid=1716606863,Secretaria Geral da Presidência,Resolução nº 140/2014 - CSJT
Resolução nº 143/2014,CSJT,https://docs.google.com/spreadsheets/d/11md05nQsG57YKrTcsSaKfcX_g4HDZfvvUPFrHqsGmJg/edit?resourcekey=&gid=1894512423#gid=1894512423,Secretaria Geral da Presidência,Resolução nº 143/2014 - CSJT
Resolução nº 122/2013,CSJT,https://docs.google.com/spreadsheets/d/1qWns42GBjfnjMVUd6lqIQZIpNROrzgm0sd_yNh1g_sI/edit?gid=1560969457#gid=1560969457,Secretaria de Governança e Gestão Estratégica,Resolução nº 122/2013 - CSJT
Resolução nº 170/2013,CNJ,https://docs.google.com/spreadsheets/d/1SGD2INK3IsmUKysk9wyjJwxw1zHOQ659N6Zugbx_JlE/edit?resourcekey=&gid=212135516#gid=212135516,Secretaria Geral da Presidência,Resolução nº 170/2013 - CNJ
Resolução nº 131/2013,CSJT,https://docs.google.com/spreadsheets/d/1cQH7VPxEiF3mK016YApFgvwtdqyOSrJdLx289WcNYa8/edit?resourcekey=&gid=1062050526#gid=1062050526,Diretoria Geral,Resolução nº 131/2013 - CSJT
Resolução nº 147/2012,CNJ,https://docs.google.com/spreadsheets/d/1IXuzB3AjeHerA6ZfITO3CyKVUVFgQm2CAb_xpFKiZus/edit?resourcekey=&gid=346763465#gid=346763465,Secretaria Geral da Presidência,Resolução nº 147/2012 - CNJ
Resolução nº 97/2012,CSJT,https://docs.google.com/spreadsheets/d/1c1mfWDjHTUJg_cbo0nD1HLQDMNRziE1tE6kfRNwA2Ko/edit?resourcekey=&gid=1856873658#gid=1856873658,Secretaria de Governança e Gestão Estratégica,Resolução nº 97/2012 - CSJT
Resolução nº 98/2012,CSJT,https://docs.google.com/spreadsheets/d/14T98JmfI-Gs6ZLMcB-QVzqPRP3nnkVeaZ0KmCyQ3xkA/edit?resourcekey=&gid=220921016#gid=220921016,Diretoria Geral,Resolução nº 98/2012 - CSJT
Resolução nº 107/2012,CSJT,https://docs.google.com/spreadsheets/d/1czoKzEa7Ch1hLeHnBn-D_9L_fSbmwajzjoL5YqTu3IM/edit?resourcekey=&gid=1221930335#gid=1221930335,Secretaria Geral da Presidência,Resolução nº 107/2012 - CSJT
Resolução nº 117/2012,CSJT,https://docs.google.com/spreadsheets/d/16Hoi1PeXmiTABE2DMHOjVAFgQWGvPnvk4jwkqZyN15c/edit?resourcekey=&gid=981623258#gid=981623258,Secretaria Geral da Presidência,Resolução nº 117/2012 - CSJT
Resolução nº 166/2012,CNJ,https://docs.google.com/spreadsheets/d/1saBp8jIwlFVb274_euNiFZWBXPC1fQbWNQ6kNy4oqoU/edit?resourcekey=&gid=687095809#gid=687095809,Secretaria Geral da Presidência,Resolução nº 166/2012 - CNJ
Resolução nº 127/2011,CNJ,https://docs.google.com/spreadsheets/d/1GD4OFsu1s9Iozi5AXj0-LoWFHxV_N-PyZQ2y5M3i_2A/edit?resourcekey=&gid=1071557413#gid=1071557413,Secretaria Geral da Presidência,Resolução nº 127/2011 - CNJ
Resolução n° 133/2011,CNJ,https://docs.google.com/spreadsheets/d/1L8ErETxyWPz3rrfxczreRlrvZXyPodaS6Tf8qUTxuMQ/edit?resourcekey=&gid=1452922175#gid=1452922175,Secretaria Geral da Presidência,Resolução n° 133/2011 - CNJ
Resolução nº 134/2011,CNJ,https://docs.google.com/spreadsheets/d/1Dutvv_x8qGOKpAp0-k41WWprHTKtnl7cLkJMJSnddnY/edit?resourcekey=&gid=117444304#gid=117444304,Secretaria Geral da Presidência,Resolução nº 134/2011 - CNJ
Resolução nº 135/2011,CNJ,https://docs.google.com/spreadsheets/d/1H8NE2rJmnLVDRBvyIAqBbLR2rVKZiLgxqNoIJVIw7b4/edit?resourcekey=&gid=1395735260#gid=1395735260,Secretaria Geral da Presidência,Resolução nº 135/2011 - CNJ
Resolução nº 139/2011,CNJ,https://docs.google.com/spreadsheets/d/1CRvULMH71kGPzMJCarGPuzti6Gy-InXewWFeWGfEOXM/edit?resourcekey=&gid=449202503#gid=449202503,Secretaria Geral da Presidência,Resolução nº 139/2011 - CNJ
Resolução nº 88/2011,CSJT,https://docs.google.com/spreadsheets/d/1rbqZPgO9UVcilLZcZKi9KX48VfSl7zYVSxAcBSKxCF0/edit?resourcekey=&gid=1427808941#gid=1427808941,Secretaria Geral da Presidência,Resolução nº 88/2011 - CSJT
Resolução nº 105/2010,CNJ,https://docs.google.com/spreadsheets/d/1GocKtTr6InVAz5gxESvy0fA_ndpniKk-ctwEfEdRx8k/edit?resourcekey=&gid=1159995046#gid=1159995046,Secretaria Geral da Presidência,Resolução nº 105/2010 - CNJ
Resolução nº 106/2010,CNJ,https://docs.google.com/spreadsheets/d/1U8FuhKvG7Yx_CUq33JQNciXLqseDkCJbaOP_VXBEaZQ/edit?resourcekey=&gid=221464283#gid=221464283,Secretaria Geral da Presidência,Resolução nº 106/2010 - CNJ
Resolução nº 67/2010,CSJT,https://docs.google.com/spreadsheets/d/1gFhc3jRvAN4G5nzx90noZLANXkLdOOxlIb9ymfaVaxc/edit?resourcekey=&gid=77860629#gid=77860629,Secretaria Geral da Presidência,Resolução nº 67/2010 - CSJT
Resolução nº 65/2010,CSJT,https://docs.google.com/spreadsheets/d/1MBPMtAIEVdwkjgBhOFXRUaB95aocrKwALdPlfVPaE2I/edit?resourcekey=&gid=1589247942#gid=1589247942,Secretaria Geral da Presidência,Resolução nº 65/2010 - CSJT
Resolução nº 62/2009,CNJ,https://docs.google.com/spreadsheets/d/1V8RYbLQzfRreQAxR9cFrZIm98YuXqtGdNKAOgR59TrQ/edit?resourcekey=&gid=1148460707#gid=1148460707,Secretaria Geral da Presidência,Resolução nº 62/2009 - CNJ
Resolução nº 71/2009,CNJ,https://docs.google.com/spreadsheets/d/1MKzY4jJyDdoCIAXj0eXmRpCouaAgmHqTiQryyPTHgxc/edit?resourcekey=&gid=697377121#gid=697377121,Secretaria Geral da Presidência,Resolução nº 71/2009 - CNJ
Resolução nº 72/2009,CNJ,https://docs.google.com/spreadsheets/d/1lZ_Ln0T44_wRXGS5ONqcW9zMr3hfJFKhf-AgBwn9SAc/edit?resourcekey=&gid=931535637#gid=931535637,Secretaria Geral da Presidência,Resolução nº 72/2009 - CNJ
Resolução nº 73/2009,CNJ,https://docs.google.com/spreadsheets/d/1qdcIMNXfMGSzq6-Rkap1dhVrYsJGEPqw4b3DGWq0cwQ/edit?resourcekey=&gid=906709900#gid=906709900,Secretaria Geral da Presidência,Resolução nº 73/2009 - CNJ
